,Load (kWh)
2021-01-01 00:00:00,2.807
2021-01-01 01:00:00,2.786
2021-01-01 02:00:00,2.918
2021-01-01 03:00:00,2.952
2021-01-01 04:00:00,3.493
2021-01-01 05:00:00,3.814
2021-01-01 06:00:00,4.169
2021-01-01 07:00:00,3.226
2021-01-01 08:00:00,3.147
2021-01-01 09:00:00,3.289
2021-01-01 10:00:00,3.215
2021-01-01 11:00:00,3.275
2021-01-01 12:00:00,3.493
2021-01-01 13:00:00,4.167
2021-01-01 14:00:00,3.634
2021-01-01 15:00:00,3.405
2021-01-01 16:00:00,3.453
2021-01-01 17:00:00,6.214
2021-01-01 18:00:00,7.185
2021-01-01 19:00:00,8.203
2021-01-01 20:00:00,5.212
2021-01-01 21:00:00,4.195
2021-01-01 22:00:00,5.049
2021-01-01 23:00:00,3.625
2021-01-02 00:00:00,2.858
2021-01-02 01:00:00,2.462
2021-01-02 02:00:00,2.496
2021-01-02 03:00:00,2.874
2021-01-02 04:00:00,3.592
2021-01-02 05:00:00,3.969
2021-01-02 06:00:00,5.194
2021-01-02 07:00:00,6.326
2021-01-02 08:00:00,7.048
2021-01-02 09:00:00,7.61
2021-01-02 10:00:00,7.044
2021-01-02 11:00:00,7.135
2021-01-02 12:00:00,8.799
2021-01-02 13:00:00,9.437
2021-01-02 14:00:00,11.055
2021-01-02 15:00:00,8.436
2021-01-02 16:00:00,10.078
2021-01-02 17:00:00,6.698
2021-01-02 18:00:00,6.025
2021-01-02 19:00:00,6.394
2021-01-02 20:00:00,7.634
2021-01-02 21:00:00,4.747
2021-01-02 22:00:00,3.654
2021-01-02 23:00:00,3.54
2021-01-03 00:00:00,3.136
2021-01-03 01:00:00,4.339
2021-01-03 02:00:00,3.14
2021-01-03 03:00:00,3.506
2021-01-03 04:00:00,4.266
2021-01-03 05:00:00,4.046
2021-01-03 06:00:00,5.556
2021-01-03 07:00:00,4.736
2021-01-03 08:00:00,4.328
2021-01-03 09:00:00,7.161
2021-01-03 10:00:00,7.216
2021-01-03 11:00:00,6.03
2021-01-03 12:00:00,6.876
2021-01-03 13:00:00,6.109
2021-01-03 14:00:00,5.856
2021-01-03 15:00:00,6.157
2021-01-03 16:00:00,5.557
2021-01-03 17:00:00,5.402
2021-01-03 18:00:00,6.851
2021-01-03 19:00:00,5.529
2021-01-03 20:00:00,5.316
2021-01-03 21:00:00,4.181
2021-01-03 22:00:00,4.732
2021-01-03 23:00:00,4.373
2021-01-04 00:00:00,3.511
2021-01-04 01:00:00,3.272
2021-01-04 02:00:00,3.494
2021-01-04 03:00:00,3.22
2021-01-04 04:00:00,4.497
2021-01-04 05:00:00,4.967
2021-01-04 06:00:00,4.145
2021-01-04 07:00:00,4.891
2021-01-04 08:00:00,7.595
2021-01-04 09:00:00,9.297
2021-01-04 10:00:00,10.239
2021-01-04 11:00:00,7.19
2021-01-04 12:00:00,7.022
2021-01-04 13:00:00,6.06
2021-01-04 14:00:00,5.602
2021-01-04 15:00:00,7.465
2021-01-04 16:00:00,6.327
2021-01-04 17:00:00,8.422
2021-01-04 18:00:00,5.824
2021-01-04 19:00:00,6.305
2021-01-04 20:00:00,5.382
2021-01-04 21:00:00,6.092
2021-01-04 22:00:00,4.837
2021-01-04 23:00:00,3.978
2021-01-05 00:00:00,4.736
2021-01-05 01:00:00,3.588
2021-01-05 02:00:00,3.493
2021-01-05 03:00:00,3.703
2021-01-05 04:00:00,4.615
2021-01-05 05:00:00,4.241
2021-01-05 06:00:00,5.174
2021-01-05 07:00:00,6.739
2021-01-05 08:00:00,6.766
2021-01-05 09:00:00,7.849
2021-01-05 10:00:00,7.674
2021-01-05 11:00:00,7.033
2021-01-05 12:00:00,5.1
2021-01-05 13:00:00,4.415
2021-01-05 14:00:00,4.559
2021-01-05 15:00:00,7.438
2021-01-05 16:00:00,7.155
2021-01-05 17:00:00,6.859
2021-01-05 18:00:00,5.15
2021-01-05 19:00:00,5.713
2021-01-05 20:00:00,4.775
2021-01-05 21:00:00,5.148
2021-01-05 22:00:00,3.737
2021-01-05 23:00:00,3.889
2021-01-06 00:00:00,3.571
2021-01-06 01:00:00,4.063
2021-01-06 02:00:00,3.604
2021-01-06 03:00:00,3.362
2021-01-06 04:00:00,4.127
2021-01-06 05:00:00,4.305
2021-01-06 06:00:00,4.645
2021-01-06 07:00:00,7.347
2021-01-06 08:00:00,6.653
2021-01-06 09:00:00,6.681
2021-01-06 10:00:00,6.483
2021-01-06 11:00:00,6.4
2021-01-06 12:00:00,5.013
