,Baseline load (kW)
2020-01-01 00:00:00,4.417510548693229
2020-01-01 01:00:00,4.371654164203913
2020-01-01 02:00:00,4.386699443563669
2020-01-01 03:00:00,4.462922660918443
2020-01-01 04:00:00,4.694182363102848
2020-01-01 05:00:00,5.181662369761838
2020-01-01 06:00:00,5.899221453923855
2020-01-01 07:00:00,6.6428720353892245
2020-01-01 08:00:00,7.132284504325029
2020-01-01 09:00:00,7.195243496270505
2020-01-01 10:00:00,6.884759984368204
2020-01-01 11:00:00,6.43181671341038
2020-01-01 12:00:00,6.076988183399229
2020-01-01 13:00:00,5.922449704320939
2020-01-01 14:00:00,5.914831313359145
2020-01-01 15:00:00,5.944850927537221
2020-01-01 16:00:00,5.952427952451109
2020-01-01 17:00:00,5.943111553668045
2020-01-01 18:00:00,5.925055303293376
2020-01-01 19:00:00,5.85603860485699
2020-01-01 20:00:00,5.668668063922152
2020-01-01 21:00:00,5.348123588846613
2020-01-01 22:00:00,4.973433603007334
2020-01-01 23:00:00,4.668565919814151
2020-01-02 00:00:00,4.506619183706678
2020-01-02 01:00:00,4.465445229829092
2020-01-02 02:00:00,4.484088651069654
2020-01-02 03:00:00,4.5628222707495265
2020-01-02 04:00:00,4.795521287825714
2020-01-02 05:00:00,5.283405794491107
2020-01-02 06:00:00,6.000389519096512
2020-01-02 07:00:00,6.742557145085672
2020-01-02 08:00:00,7.229666852121008
2020-01-02 09:00:00,7.289604439252479
2020-01-02 10:00:00,6.975492943624268
2020-01-02 11:00:00,6.518435334975026
2020-01-02 12:00:00,6.159131556047184
2020-01-02 13:00:00,5.999884498372757
2020-01-02 14:00:00,5.987450776246711
2020-01-02 15:00:00,6.0126707456498565
2020-01-02 16:00:00,6.015579063050371
2020-01-02 17:00:00,6.001830063706155
2020-01-02 18:00:00,5.979669742097177
2020-01-02 19:00:00,5.906954803202069
2020-01-02 20:00:00,5.716352011468087
2020-01-02 21:00:00,5.393082673811012
2020-01-02 22:00:00,5.016196681061453
2020-01-02 23:00:00,4.709662692415221
2020-01-03 00:00:00,4.5465593885879025
2020-01-03 01:00:00,4.504698157529614
2020-01-03 02:00:00,4.523063500839484
2020-01-03 03:00:00,4.601849846805496
2020-01-03 04:00:00,4.834837512927867
2020-01-03 05:00:00,5.323137482582062
2020-01-03 06:00:00,6.0405428029831265
2020-01-03 07:00:00,6.783008899768839
2020-01-03 08:00:00,7.270159390544704
2020-01-03 09:00:00,7.329743686295274
2020-01-03 10:00:00,7.0147502176125744
2020-01-03 11:00:00,6.556152785512601
2020-01-03 12:00:00,6.194531224284586
2020-01-03 13:00:00,6.032080882802147
2020-01-03 14:00:00,6.015466705541643
2020-01-03 15:00:00,6.035456281798746
2020-01-03 16:00:00,6.032033084819797
2020-01-03 17:00:00,6.01082411398123
