,Spot Price (NOK/kWh)
2023-01-01 00:00:00,0.2328
2023-01-01 01:00:00,0.23370000000000002
2023-01-01 02:00:00,0.23670000000000002
2023-01-01 03:00:00,0.24120000000000003
2023-01-01 04:00:00,0.3224
2023-01-01 05:00:00,0.3593
2023-01-01 06:00:00,0.4278
2023-01-01 07:00:00,0.477
2023-01-01 08:00:00,0.5338
2023-01-01 09:00:00,0.5934
2023-01-01 10:00:00,0.6165999999999999
2023-01-01 11:00:00,0.6490999999999999
2023-01-01 12:00:00,0.7102999999999999
2023-01-01 13:00:00,0.7311
2023-01-01 14:00:00,0.7713
2023-01-01 15:00:00,0.7532
2023-01-01 16:00:00,0.7081999999999999
2023-01-01 17:00:00,0.6367999999999999
2023-01-01 18:00:00,0.6036999999999999
2023-01-01 19:00:00,0.5096
2023-01-01 20:00:00,0.48590000000000005
2023-01-01 21:00:00,0.49979999999999997
2023-01-01 22:00:00,0.54
2023-01-01 23:00:00,0.7213999999999999
2023-01-02 00:00:00,0.7212999999999999
2023-01-02 01:00:00,0.7245
2023-01-02 02:00:00,0.7176
2023-01-02 03:00:00,0.7295999999999999
2023-01-02 04:00:00,0.7417
2023-01-02 05:00:00,1.0255999999999998
2023-01-02 06:00:00,1.1243
2023-01-02 07:00:00,1.1129
2023-01-02 08:00:00,1.1494000000000002
2023-01-02 09:00:00,1.1495
2023-01-02 10:00:00,1.1756
2023-01-02 11:00:00,1.3127
2023-01-02 12:00:00,1.4376
2023-01-02 13:00:00,1.482
2023-01-02 14:00:00,1.5534000000000001
2023-01-02 15:00:00,1.6288999999999998
2023-01-02 16:00:00,1.7
2023-01-02 17:00:00,1.7474
2023-01-02 18:00:00,1.6446
2023-01-02 19:00:00,1.53
2023-01-02 20:00:00,1.4166999999999998
2023-01-02 21:00:00,1.3166999999999998
2023-01-02 22:00:00,1.1805999999999999
2023-01-02 23:00:00,0.8961
2023-01-03 00:00:00,0.8235
2023-01-03 01:00:00,0.8036
2023-01-03 02:00:00,0.8001999999999999
2023-01-03 03:00:00,0.8031999999999999
2023-01-03 04:00:00,0.8729000000000001
2023-01-03 05:00:00,1.0284
2023-01-03 06:00:00,1.0252000000000001
2023-01-03 07:00:00,1.0769000000000002
2023-01-03 08:00:00,1.0252999999999999
2023-01-03 09:00:00,1.0252000000000001
2023-01-03 10:00:00,1.0795
2023-01-03 11:00:00,1.0842
2023-01-03 12:00:00,1.0905
2023-01-03 13:00:00,1.1069
2023-01-03 14:00:00,1.1883
2023-01-03 15:00:00,1.169
2023-01-03 16:00:00,1.1548999999999998
2023-01-03 17:00:00,1.2
2023-01-03 18:00:00,1.2092
2023-01-03 19:00:00,1.1997
2023-01-03 20:00:00,1.1972
2023-01-03 21:00:00,1.1427
2023-01-03 22:00:00,0.9365999999999999
2023-01-03 23:00:00,0.8288
2023-01-04 00:00:00,0.7884000000000001
2023-01-04 01:00:00,0.6993
2023-01-04 02:00:00,0.6926
2023-01-04 03:00:00,0.7175
2023-01-04 04:00:00,0.7482
2023-01-04 05:00:00,0.7537999999999999
2023-01-04 06:00:00,0.7716
2023-01-04 07:00:00,0.7868
2023-01-04 08:00:00,0.7897000000000001
2023-01-04 09:00:00,0.7595
2023-01-04 10:00:00,0.79
2023-01-04 11:00:00,0.7901999999999999
2023-01-04 12:00:00,0.7945999999999999
2023-01-04 13:00:00,0.7986
2023-01-04 14:00:00,0.7974
2023-01-04 15:00:00,0.8081999999999999
2023-01-04 16:00:00,0.8615999999999999
2023-01-04 17:00:00,0.7228
2023-01-04 18:00:00,0.6661
2023-01-04 19:00:00,0.6213000000000001
2023-01-04 20:00:00,0.5726
2023-01-04 21:00:00,0.37939999999999996
2023-01-04 22:00:00,0.3082
2023-01-04 23:00:00,0.3003
2023-01-05 00:00:00,0.2815
2023-01-05 01:00:00,0.2768
2023-01-05 02:00:00,0.2776
2023-01-05 03:00:00,0.2863
2023-01-05 04:00:00,0.398
2023-01-05 05:00:00,0.627
2023-01-05 06:00:00,0.8553
2023-01-05 07:00:00,0.8946
2023-01-05 08:00:00,0.8995
2023-01-05 09:00:00,0.9120999999999999
2023-01-05 10:00:00,0.8755
2023-01-05 11:00:00,0.8359000000000001
2023-01-05 12:00:00,0.8325
2023-01-05 13:00:00,0.8343
2023-01-05 14:00:00,0.8834000000000001
2023-01-05 15:00:00,0.8724
2023-01-05 16:00:00,0.8178
2023-01-05 17:00:00,0.8208
2023-01-05 18:00:00,0.8212
2023-01-05 19:00:00,0.8115
2023-01-05 20:00:00,0.8279000000000001
2023-01-05 21:00:00,0.8006
2023-01-05 22:00:00,0.7712
2023-01-05 23:00:00,0.7254
2023-01-06 00:00:00,0.7122
2023-01-06 01:00:00,0.7091
2023-01-06 02:00:00,0.7071
2023-01-06 03:00:00,0.7093
2023-01-06 04:00:00,0.7156
2023-01-06 05:00:00,0.7204
2023-01-06 06:00:00,0.7459000000000001
2023-01-06 07:00:00,0.8347
2023-01-06 08:00:00,0.9084000000000001
2023-01-06 09:00:00,0.9015
2023-01-06 10:00:00,0.9113
2023-01-06 11:00:00,0.8885
2023-01-06 12:00:00,0.8539
2023-01-06 13:00:00,0.8291
2023-01-06 14:00:00,0.8015
2023-01-06 15:00:00,0.778
2023-01-06 16:00:00,0.7601
2023-01-06 17:00:00,0.7554000000000001
2023-01-06 18:00:00,0.7443000000000001
2023-01-06 19:00:00,0.7457999999999999
2023-01-06 20:00:00,0.7420999999999999
2023-01-06 21:00:00,0.7363999999999999
2023-01-06 22:00:00,0.7173999999999999
2023-01-06 23:00:00,0.7167
2023-01-07 00:00:00,0.6993
2023-01-07 01:00:00,0.6994
2023-01-07 02:00:00,0.7045
2023-01-07 03:00:00,0.7012999999999999
2023-01-07 04:00:00,0.7039
2023-01-07 05:00:00,0.7258
2023-01-07 06:00:00,0.7597
2023-01-07 07:00:00,0.7820999999999999
2023-01-07 08:00:00,0.7643000000000001
2023-01-07 09:00:00,0.7807999999999999
2023-01-07 10:00:00,0.7903
2023-01-07 11:00:00,0.8005
2023-01-07 12:00:00,0.8062999999999999
2023-01-07 13:00:00,0.8051
2023-01-07 14:00:00,0.7894
2023-01-07 15:00:00,0.7993000000000001
2023-01-07 16:00:00,0.7868
2023-01-07 17:00:00,0.7781999999999999
2023-01-07 18:00:00,0.7439
2023-01-07 19:00:00,0.6698000000000001
2023-01-07 20:00:00,0.5999
2023-01-07 21:00:00,0.488
2023-01-07 22:00:00,0.359
2023-01-07 23:00:00,0.2444
2023-01-08 00:00:00,0.2022
